n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
354,1854,ITA,Insta Lova,Marracash,Santeria,80,2016-06-24,AR,0.69,0.0721,206806,0.795,0.0759,101.071,0.905
355,1855,ITA,CVLT (feat. Kid Yugi),Salmo,CVLT,71,2023-11-03,AR,0.595,0.217,226557,0.792,0.322,92.236,0.436
356,1856,ITA,2minuti,Calcutta ,RELAX,76,2023-10-20,AR,0.764,0.157,214291,0.593,0.029,122.959,0.668
357,1857,ITA,Che t'o dico a fa',Angelina Mango,Che t'o dico a fa',78,2023-10-06,AR,0.647,0.279,187742,0.684,0.191,165.028,0.416
358,1858,ITA,Papaya,VillaBanks,VILLABANKS,61,2023-10-26,AR,0.674,0.409,139714,0.827,0.0995,140.044,0.419
359,1859,ITA,MILANO,BIA,REALLY HER (INTL DELUXE),79,2023-09-29,AR,0.8,0.0724,194676,0.429,0.281,143.918,0.493
360,1860,ITA,Freaky (feat. Shiva & Niky Savage),Slings,TRAPHOUSE,73,2023-10-20,AR,0.873,0.0365,176970,0.578,0.276,98.996,0.681
361,1861,ITA,VETRI NERI,AVA,VETRI NERI,80,2023-05-19,AR,0.754,0.0763,164776,0.767,0.0594,134.084,0.529
362,1862,ITA,ANTHEM,Salmo,CVLT,71,2023-11-03,AR,0.653,0.0943,138661,0.817,0.442,93.522,0.496
363,1863,ITA,COME VUOI,Geolier,IL CORAGGIO DEI BAMBINI,78,2023-01-06,AR,0.756,0.13,172615,0.631,0.0502,130.052,0.896
364,1864,ITA,Tutti,Calcutta ,RELAX,74,2023-10-20,AR,0.544,0.679,250895,0.482,0.0346,134.98,0.322
365,1865,ITA,Nightmares,Bresh,Nightmares,77,2023-09-29,AR,0.714,0.492,201782,0.833,0.0378,116.994,0.702
366,1866,ITA,INCUBI,Salmo,CVLT,70,2023-11-03,AR,0.594,0.0709,162893,0.813,0.388,171.727,0.598
367,1867,ITA,MY LOVE SONG 2 (feat. Coez & Frah Quintale),Salmo,CVLT,70,2023-11-03,AR,0.584,0.154,174288,0.865,0.342,79.567,0.703
"368,1868,ITA,""BON TON (feat. Lazza, Blanco, Sfera Ebbasta & Michelangelo)"",Drillionaire,10,61,2023-06-28,AR,0.676,0.0815,238534,0.81,0.0411,129.986,0.656"
369,1869,ITA,Hoe (feat. Sfera Ebbasta),Tedua,La Divina Commedia,78,2023-06-02,AR,0.936,0.0974,137120,0.757,0.117,114.044,0.406
370,1870,ITA,DIMMI CHE NON È UN ADDIO,Holden,DIMMI CHE NON È UN ADDIO,55,2023-11-07,AR,0.592,0.132,177769,0.543,0.0267,97.478,0.171
371,1871,ITA,CRINGE,Salmo,CVLT,70,2023-11-03,AR,0.607,0.0603,192729,0.81,0.293,93.93,0.478
372,1872,ITA,ANELLI E COLLANE (feat. ANNA),Artie 5ive,ASPETTANDO LA BELLA VITA,77,2023-07-20,AR,0.524,0.129,189016,0.816,0.126,96.503,0.489
373,1873,ITA,IL MALE CHE MI FAI (feat. Marracash),Geolier,IL CORAGGIO DEI BAMBINI - ATTO II,77,2023-04-07,AR,0.735,0.141,167339,0.798,0.122,109.044,0.51
374,1874,ITA,MIRACOLO,Salmo,CVLT,69,2023-11-03,AR,0.655,0.0518,174283,0.644,0.483,90.702,0.35
375,1875,ITA,Kiss You (F**k You) [feat. Geolier],Yung Snapp,HOTEL MONTANA,75,2023-09-01,AR,0.774,0.201,207400,0.572,0.0586,104.021,0.217
"376,1876,ITA,""Gelosa (feat. Shiva, Sfera Ebbasta, Guè)"",Finesse,""Gelosa (feat. Shiva, Sfera Ebbasta, Guè)"",78,2023-02-24,AR,0.726,0.0378,182400,0.672,0.0704,150.068,0.479"
377,1877,ITA,Baby Mama,Don Pero,Baby Mama,75,2022-10-27,AR,0.595,0.0345,151160,0.832,0.0425,90.475,0.243
378,1878,ITA,Syrup,Shiva,Syrup,78,2023-09-14,AR,0.895,0.0322,189500,0.46,0.0936,139.893,0.294
379,1879,ITA,BRUJERIA,Salmo,CVLT,69,2023-11-03,AR,0.662,0.0499,192588,0.807,0.357,121.764,0.579
380,1880,ITA,ABC (feat. Bello Figo),Slings,TRAPHOUSE,62,2023-10-20,AR,0.888,0.00187,143425,0.47,0.255,145.953,0.709
381,1881,ITA,bellissimissima <3,Alfa,bellissimissima <3,78,2023-05-12,AR,0.734,0.144,157031,0.841,0.186,101.853,0.951
382,1882,ITA,TAXI SULLA LUNA,Tony Effe,TAXI SULLA LUNA,77,2023-06-08,AR,0.861,0.0687,143500,0.735,0.0835,120.015,0.604
383,1883,ITA,LALA,Myke Towers,LA VIDA ES UNA,97,2023-03-23,AR,0.708,0.0739,197920,0.737,0.0436,91.986,0.607
384,1884,ITA,Rubami la Notte,Pinguini Tattici Nucleari,Fake News,70,2022-12-02,AR,0.547,0.0671,189583,0.882,0.0379,77.011,0.642
385,1885,ITA,Alta marea,Coez,Lovebars,67,2023-09-08,AR,0.737,0.054,171903,0.75,0.0432,109.988,0.813
386,1886,ITA,Soraya,Medy,Soraya,68,2023-10-20,AR,0.639,0.123,180094,0.475,0.0673,101.994,0.374
387,1887,ITA,Fantasmi (feat. Geolier),Rose Villain,Radio Gotham,75,2023-01-20,AR,0.757,0.506,133267,0.766,0.116,97.971,0.457
388,1888,ITA,Paradiso Artificiale (feat. Baby Gang & Kid Yugi),Tedua,La Divina Commedia,74,2023-06-02,AR,0.743,0.326,162467,0.693,0.114,104.522,0.567
389,1889,ITA,CROCI € CRISTI,Salmo,CVLT,68,2023-11-03,AR,0.624,0.0308,154696,0.858,0.37,86.154,0.446
390,1890,ITA,Red Light,Tedua,La Divina Commedia,74,2023-06-02,AR,0.558,0.0678,167867,0.624,0.0439,66.512,0.574
391,1891,ITA,Ancora,Rhove,Ancora,75,2023-06-21,AR,0.739,0.462,171775,0.7,0.0795,138.018,0.583
"392,1892,ITA,""CLAP CLAP (feat. Artie 5ive, Niky Savage)"",Sadturs,NO REGULAR MUSIC,67,2023-10-27,AR,0.747,0.0787,133875,0.694,0.287,160.041,0.718"
393,1893,ITA,GRINDHOUSE,Salmo,CVLT,67,2023-11-03,AR,0.695,0.0142,156893,0.701,0.178,148.137,0.443
394,1894,ITA,TOP G (feat. Sacky),Artie 5ive,ASPETTANDO LA BELLA VITA,72,2023-07-20,AR,0.734,0.0716,219780,0.703,0.0444,89.998,0.146
395,1895,ITA,PARAFULMINI (con Bresh & Fabri Fibra),Ernia,IO NON HO PAURA,72,2023-05-04,AR,0.785,0.179,208909,0.774,0.215,110.027,0.573
396,1896,ITA,KILOMETRI,Salmo,CVLT,67,2023-11-03,AR,0.731,0.166,145176,0.617,0.404,92.694,0.681
397,1897,ITA,Un Altro Mondo (con Tananai & Marracash),Merk & Kremont,Un Altro Mondo (con Tananai & Marracash),75,2023-06-21,AR,0.584,0.187,167647,0.913,0.0883,135.987,0.326
