n,Unnamed: 0,Country,Track_Name,Artist_Name,Album_Name,Popularity,Date,Markets,Danceability,Acousticness,duration,Energy,Speechiness,Tempo,Positiveness
76,1076,ESP,SEYA,GIMS,LES DERNIÈRES VOLONTÉS DE MOZART (SYMPHONY),66,2023-10-05,AR,0.798,0.219,188485,0.681,0.0722,101.005,0.434
77,1077,ESP,Narcotics (with Bryant Myers),Dei V,Narcotics (with Bryant Myers),83,2023-09-14,AR,0.711,0.379,173991,0.718,0.0994,159.953,0.689
78,1078,ESP,El Cielo,Sky Rompiendo,El Cielo,88,2023-06-02,AR,0.715,0.0687,191321,0.642,0.0515,105.964,0.169
79,1079,ESP,DONDE SE APRENDE A QUERER?,Mora,ESTRELLA,86,2023-08-28,AR,0.722,0.555,144427,0.519,0.297,170.058,0.779
80,1080,ESP,Los del Espacio,LIT killah,Los del Espacio,88,2023-06-01,AR,0.813,0.107,338000,0.682,0.0402,120.011,0.634
81,1081,ESP,A 300,JC Reyes,A 300,78,2023-02-17,AR,0.792,0.0927,169209,0.725,0.171,138.867,0.68
82,1082,ESP,Antidepresivos,Saiko,Antidepresivos,78,2023-08-03,AR,0.72,0.324,145385,0.613,0.0367,103.942,0.724
83,1083,ESP,FINA,Bad Bunny,nadie sabe lo que va a pasar mañana,93,2023-10-13,AR,0.847,0.0869,216328,0.724,0.298,94.601,0.396
84,1084,ESP,El Merengue,Marshmello,Sugar Papi,60,2023-11-02,AR,0.778,0.0929,189669,0.772,0.0556,123.982,0.661
85,1085,ESP,VAGABUNDO,Sebastian Yatra,VAGABUNDO,86,2023-05-12,AR,0.817,0.0351,215600,0.851,0.0627,127.019,0.886
86,1086,ESP,Arena y Sal,Omar Montes,Arena y Sal,79,2023-05-18,AR,0.722,0.598,174415,0.782,0.0524,117.996,0.762
87,1087,ESP,Fruto,Bizarrap,en dormir sin Madrid,91,2023-10-04,AR,0.801,0.494,133969,0.517,0.269,160.254,0.923
88,1088,ESP,No_Se_Ve.mp3,Emilia,.mp3,65,2023-11-03,AR,0.765,0.0892,203636,0.659,0.0825,132.066,0.567
89,1089,ESP,Corazón Roto pt. 3,Brray,Corazón Roto pt. 3,86,2023-09-08,AR,0.841,0.363,348400,0.741,0.048,92.988,0.849
"90,1090,ESP,""Milo J: Bzrp Music Sessions, Vol. 57"",Bizarrap,""Milo J: Bzrp Music Sessions, Vol. 57"",88,2023-10-03,AR,0.795,0.527,192288,0.553,0.244,124.109,0.739"
91,1091,ESP,No Estuviste En Lo Malo - REMIX,Morad,No Estuviste En Lo Malo (REMIX),78,2023-10-04,AR,0.724,0.667,268320,0.537,0.0703,125.142,0.219
92,1092,ESP,THUNDER Y LIGHTNING,Bad Bunny,nadie sabe lo que va a pasar mañana,87,2023-10-13,AR,0.552,0.496,217133,0.744,0.124,156.027,0.627
93,1093,ESP,Classy 101,Feid,Classy 101,93,2023-03-31,AR,0.859,0.145,195987,0.658,0.159,100.065,0.672
94,1094,ESP,La Bachata,Manuel Turizo,2000,85,2023-03-17,AR,0.835,0.583,162638,0.679,0.0364,124.98,0.85
95,1095,ESP,La Baby,Brytiago,La Baby,69,2023-10-27,AR,0.645,0.208,161333,0.442,0.558,120.205,0.486
96,1096,ESP,Mi Luz (ft. Rels B),Rvfv,NASTU,81,2022-01-28,AR,0.705,0.509,168000,0.526,0.327,200.031,0.671
97,1097,ESP,GATITA GANGSTER,KAROL G,MAÑANA SERÁ BONITO (BICHOTA SEASON),81,2023-08-10,AR,0.826,0.167,170921,0.552,0.144,96.981,0.532
98,1098,ESP,Bandidona,Saiko,Bandidona,74,2023-10-26,AR,0.638,0.0992,160941,0.66,0.197,169.962,0.535
99,1099,ESP,EL TONTO,Lola Indigo,EL DRAGÓN,77,2023-04-13,AR,0.801,0.406,188088,0.801,0.1,110.029,0.663
100,1100,USA,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),93,2023-10-26,AR,0.596,0.0504,229478,0.658,0.036,100.012,0.176
101,1101,USA,Now That We Don't Talk (Taylor's Version) (From The Vault),Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.793,0.186,146437,0.512,0.0338,109.994,0.0662
102,1102,USA,My Love Mine All Mine,Mitski,The Land Is Inhospitable and So Are We,97,2023-09-15,AR,0.504,0.868,137773,0.308,0.0321,113.95,0.121
103,1103,USA,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,Zach Bryan,93,2023-08-25,AR,0.429,0.554,227196,0.453,0.0459,77.639,0.155
104,1104,USA,IDGAF (feat. Yeat),Drake,For All The Dogs,94,2023-10-06,AR,0.663,0.0464,260111,0.67,0.271,136.952,0.138
105,1105,USA,Paint The Town Red,Doja Cat,Scarlet,89,2023-09-20,AR,0.864,0.255,230480,0.556,0.194,99.974,0.726
106,1106,USA,Stick Season,Noah Kahan,Stick Season,89,2022-10-14,AR,0.662,0.782,182347,0.488,0.0682,117.913,0.817
"107,1107,USA,""""""Slut!"""" (Taylor's Version) (From The Vault)"",Taylor Swift,1989 (Taylor's Version),91,2023-10-26,AR,0.629,0.345,180381,0.413,0.055,77.983,0.306"
108,1108,USA,greedy,Tate McRae,greedy,100,2023-09-15,AR,0.75,0.256,131872,0.733,0.0319,111.018,0.844
